work_id_1,work_id_2,work_name_1,work_name_2,district,work_type,name_similarity,geo_proximity_score,cost_similarity,time_overlap_score,duplicate_risk_score
WRK00154,WRK00154_DUP,Anganwadi Center at District_8 Sector 36,Anganwadi Center at District_8 Sec 36,District_8,Anganwadi Center,96.1,100.0,97.0,100.0,98.2
WRK00540,WRK00540_DUP,Community Hall at District_9 Sector 5,Community Hall at District_9 Sector 5 Phase,District_9,Community Hall,92.5,100.0,99.3,100.0,97.3
WRK00139,WRK00139_DUP,Drainage at District_11 Sector 15,Drainage at District_11 Sec 15,District_11,Drainage,95.2,100.0,92.5,100.0,97.2
WRK00572,WRK00572_DUP,Bridge at District_4 Sector 30,Bridge at District_4 Sec 30,District_4,Bridge,94.7,100.0,93.1,100.0,97.1
WRK00033,WRK00033_DUP,School Building at District_10 Sector 15,School Building at District_10 Sec 15,District_10,School Building,96.1,100.0,89.1,100.0,97.0
WRK00096,WRK00096_DUP,School Building at District_8 Sector 10,School Building at District_8 Sector 10 Phase,District_8,School Building,92.9,100.0,96.0,100.0,96.9
WRK00537,WRK00537_DUP,Irrigation Canal at District_5 Sector 38,Irrigation Canal at District_5 Sector 38 Phase,District_5,Irrigation Canal,93.0,100.0,95.9,100.0,96.9
WRK00465,WRK00465_DUP,Drainage at District_2 Sector 5,Drainage at District_2 Sector 5 Phase,District_2,Drainage,91.2,100.0,95.2,100.0,96.2
WRK00379,WRK00379_DUP,Irrigation Canal at District_12 Sector 25,Irrigation Canal at District_12 Sector 25 Phase,District_12,Irrigation Canal,93.2,100.0,90.6,100.0,96.2
WRK00159,WRK00159_DUP,Bridge at District_1 Sector 28,Bridge at District_1 Sector 28 Phase,District_1,Bridge,90.9,100.0,93.0,100.0,95.8
WRK00207,WRK00207_DUP,Water Supply at District_11 Sector 30,Water Supply at District_11 Sector 30 Phase,District_11,Water Supply,92.5,100.0,86.2,100.0,95.3
WRK00588,WRK00588_DUP,Drainage at District_7 Sector 25,Drainage at District_7 Sector 25 Phase,District_7,Drainage,91.4,100.0,88.6,100.0,95.3
WRK00150,WRK00150_DUP,Road Construction at District_7 Sector 3,Road Construction at District_7 Sector 3 Phase,District_7,Road Construction,93.0,100.0,83.4,100.0,95.1
WRK00236,WRK00236_DUP,Bridge at District_9 Sector 15,Bridge at District_9 Sector 15 Phase,District_9,Bridge,90.9,100.0,85.6,100.0,94.7
WRK00534,WRK00534_DUP,Bridge at District_5 Sector 13,Bridge at District_5 Sector 13 Phase,District_5,Bridge,90.9,100.0,82.0,100.0,94.1
WRK00148,WRK00182,School Building at District_3 Sector 37,School Building at District_3 Sector 14,District_3,School Building,94.9,88.2,88.7,92.0,91.4
WRK00079,WRK00483,School Building at District_3 Sector 4,School Building at District_3 Sector 39,District_3,School Building,96.1,75.2,96.9,76.5,86.0
WRK00400,WRK00574,Bridge at District_8 Sector 37,Bridge at District_8 Sector 8,District_8,Bridge,94.9,100.0,57.0,65.6,84.9
WRK00155,WRK00252,Irrigation Canal at District_4 Sector 21,Irrigation Canal at District_4 Sector 22,District_4,Irrigation Canal,97.5,94.9,49.9,72.2,84.5
WRK00020,WRK00567,School Building at District_7 Sector 8,School Building at District_7 Sector 6,District_7,School Building,97.4,93.9,85.3,44.0,83.8
WRK00279,WRK00300,Road Construction at District_3 Sector 27,Road Construction at District_3 Sector 1,District_3,Road Construction,96.3,92.5,89.5,41.7,83.2
WRK00086,WRK00093,School Building at District_6 Sector 10,School Building at District_6 Sector 31,District_6,School Building,97.4,82.2,84.6,56.0,82.6
WRK00054,WRK00383,Drainage at District_9 Sector 14,Drainage at District_9 Sector 31,District_9,Drainage,96.9,84.5,91.2,47.7,82.5
WRK00042,WRK00591,Anganwadi Center at District_2 Sector 9,Anganwadi Center at District_2 Sector 28,District_2,Anganwadi Center,96.2,100.0,18.9,73.6,81.2
WRK00321,WRK00540,Community Hall at District_9 Sector 30,Community Hall at District_9 Sector 5,District_9,Community Hall,96.0,100.0,15.5,75.1,81.0
WRK00427,WRK00598,Water Supply at District_2 Sector 38,Water Supply at District_2 Sector 18,District_2,Water Supply,97.2,93.3,0.0,91.9,80.4
WRK00299,WRK00413,Road Construction at District_9 Sector 15,Road Construction at District_9 Sector 22,District_9,Road Construction,95.1,100.0,0.0,84.3,80.2
WRK00437,WRK00567,School Building at District_7 Sector 14,School Building at District_7 Sector 6,District_7,School Building,96.1,66.0,92.1,62.9,79.8
WRK00365,WRK00595,Road Construction at District_2 Sector 19,Road Construction at District_2 Sector 6,District_2,Road Construction,96.3,100.0,0.0,77.3,79.2
WRK00020,WRK00437,School Building at District_7 Sector 8,School Building at District_7 Sector 14,District_7,School Building,96.1,80.0,77.9,49.6,79.2
WRK00075,WRK00481,Road Construction at District_1 Sector 38,Road Construction at District_1 Sector 20,District_1,Road Construction,95.1,95.7,50.6,44.7,78.5
WRK00024,WRK00295,Community Hall at District_1 Sector 35,Community Hall at District_1 Sector 15,District_1,Community Hall,97.4,61.3,78.2,70.5,78.3
WRK00321,WRK00540_DUP,Community Hall at District_9 Sector 30,Community Hall at District_9 Sector 5 Phase,District_9,Community Hall,88.9,99.6,15.1,75.1,78.3
WRK00130,WRK00341,Irrigation Canal at District_4 Sector 16,Irrigation Canal at District_4 Sector 6,District_4,Irrigation Canal,98.7,76.9,0.0,93.6,76.4
WRK00051,WRK00163,Community Hall at District_10 Sector 36,Community Hall at District_10 Sector 39,District_10,Community Hall,97.4,72.9,92.0,32.6,76.3
WRK00384,WRK00476,Anganwadi Center at District_1 Sector 21,Anganwadi Center at District_1 Sector 22,District_1,Anganwadi Center,97.5,59.8,56.1,78.4,76.2
WRK00130,WRK00345,Irrigation Canal at District_4 Sector 16,Irrigation Canal at District_4 Sector 28,District_4,Irrigation Canal,95.0,88.3,79.5,20.8,75.8
