work_id,work_name,work_type,district,sanctioned_amount,expenditure,physical_progress_pct,financial_progress_pct,utilisation_pct,cost_overrun_pct,progress_gap,delay_days,payment_irregularity,cost_per_progress,anomaly_score,anomaly_flag,duplicate_risk_score,delay_risk,utilisation_irregularity,fund_diversion_score,risk_score,risk_band,risk_reasons
WRK00033_DUP,School Building at District_10 Sec 15,School Building,District_10,11986842.092428105,18780800.755538505,62.5,100.0,156.67846969805362,56.67846969805361,37.5,1018,0.0,300492.8120886161,98.3,1,97.0,100.0,100.0,38.51742637222799,85.3,Critical,Anomaly pattern detected by ML model (score 98/100 on cost/progress/payment behaviour) | Delayed by 1018 days beyond planned completion | Utilisation irregularity: 157% of funds used vs 62% physical work done | Cost overrun of 57% vs sanctioned amount
WRK00033,School Building at District_10 Sector 15,School Building,District_10,12680637.32,18780800.755538505,62.5,100.0,148.10612654237244,48.10612654237243,37.5,1018,0.0,300492.8120886161,95.2,1,97.0,100.0,100.0,38.51742637222799,82.5,Critical,Anomaly pattern detected by ML model (score 95/100 on cost/progress/payment behaviour) | Delayed by 1018 days beyond planned completion | Utilisation irregularity: 148% of funds used vs 62% physical work done | Possible duplicate/overlapping work found (duplicate risk 97/100)
WRK00352,Anganwadi Center at District_2 Sector 32,Anganwadi Center,District_2,818012.45,1218671.486456238,66.7,100.0,148.9795768336091,48.97957683360908,33.3,821,61.92,18270.936828429352,95.0,1,67.6,100.0,100.0,44.1495,80.0,Critical,Anomaly pattern detected by ML model (score 95/100 on cost/progress/payment behaviour) | Delayed by 821 days beyond planned completion | Utilisation irregularity: 149% of funds used vs 67% physical work done | Cost overrun of 49% vs sanctioned amount
WRK00195,Water Supply at District_1 Sector 1,Water Supply,District_1,487982.49,729999.7669373712,73.4,100.0,149.5954838333177,49.595483833317715,26.599999999999994,1000,58.72,9945.500911953286,92.3,1,70.1,100.0,100.0,38.50699999999999,78.9,High,Anomaly pattern detected by ML model (score 92/100 on cost/progress/payment behaviour) | Delayed by 1000 days beyond planned completion | Utilisation irregularity: 150% of funds used vs 73% physical work done | Cost overrun of 50% vs sanctioned amount
WRK00242,Bridge at District_3 Sector 1,Bridge,District_3,12353666.87,19310577.44832271,76.8,100.0,156.31453925001873,56.31453925001873,23.200000000000003,804,0.0,251439.81052503528,92.5,1,64.6,100.0,100.0,26.5101564791618,78.0,High,Anomaly pattern detected by ML model (score 92/100 on cost/progress/payment behaviour) | Delayed by 804 days beyond planned completion | Utilisation irregularity: 156% of funds used vs 77% physical work done | Cost overrun of 56% vs sanctioned amount
WRK00251,Irrigation Canal at District_7 Sector 5,Irrigation Canal,District_7,5925988.46,5521882.903588566,8.800817769843064,93.18079069611564,93.18079069611564,-6.819209303884367,84.37997292627257,786,0.0,627428.3876789137,99.7,1,63.5,100.0,100.0,76.95648172523399,74.1,High,"Anomaly pattern detected by ML model (score 100/100 on cost/progress/payment behaviour) | Delayed by 786 days beyond planned completion | Utilisation irregularity: 93% of funds used vs 9% physical work done | Fund diversion signal: financial progress (93%) far ahead of physical progress (9%), payment irregularity 0/100"
WRK00556,Road Construction at District_12 Sector 2,Road Construction,District_12,2846693.29,4645794.657859993,87.0,100.0,163.19969117080376,63.19969117080376,13.0,948,4.0,53399.93859609187,76.8,1,66.8,100.0,100.0,11.518330939841682,73.8,High,Anomaly pattern detected by ML model (score 77/100 on cost/progress/payment behaviour) | Delayed by 948 days beyond planned completion | Utilisation irregularity: 163% of funds used vs 87% physical work done | Cost overrun of 63% vs sanctioned amount
WRK00249,Road Construction at District_2 Sector 9,Road Construction,District_2,5285120.49,5142385.93832536,13.766731924751632,97.29931319551355,97.29931319551355,-2.7006868044864536,83.53258127076191,908,1.4400000000000006,373537.1594677242,92.7,1,63.9,100.0,100.0,73.59988366759752,71.9,High,"Anomaly pattern detected by ML model (score 93/100 on cost/progress/payment behaviour) | Delayed by 908 days beyond planned completion | Utilisation irregularity: 97% of funds used vs 14% physical work done | Fund diversion signal: financial progress (97%) far ahead of physical progress (14%), payment irregularity 1/100"
WRK00096,School Building at District_8 Sector 10,School Building,District_8,2402769.59,3466947.203526057,79.0,100.0,144.28962385552987,44.28962385552986,21.0,667,0.0,43885.40763957034,65.3,1,96.9,100.0,100.0,15.061589653296288,70.6,High,Anomaly pattern detected by ML model (score 65/100 on cost/progress/payment behaviour) | Delayed by 667 days beyond planned completion | Utilisation irregularity: 144% of funds used vs 79% physical work done | Possible duplicate/overlapping work found (duplicate risk 97/100)
WRK00591,Anganwadi Center at District_2 Sector 28,Anganwadi Center,District_2,852802.4,1342285.3724693737,93.4,100.0,157.39699753065582,57.39699753065584,6.599999999999994,691,0.0,14371.363730935478,66.4,1,81.2,100.0,100.0,4.4549999999999965,70.5,High,Anomaly pattern detected by ML model (score 66/100 on cost/progress/payment behaviour) | Delayed by 691 days beyond planned completion | Utilisation irregularity: 157% of funds used vs 93% physical work done | Cost overrun of 57% vs sanctioned amount
