work_id,work_name,work_type,district,lat,lon,sanctioned_amount,expenditure,physical_progress_pct,financial_progress_pct,start_date,end_date,actual_end_date,num_payment_txns,max_single_txn_pct_of_sanctioned,vendor_id,is_fraud_label
WRK00000,Drainage at District_2 Sector 20,Drainage,District_2,21.748000794687975,79.83752255979032,423544.34,265175.21,67.6,65.0,2023-12-15,2024-08-24,,14,11.5,VEND_022,0
WRK00001,Anganwadi Center at District_3 Sector 28,Anganwadi Center,District_3,20.90330153487806,78.95636206034841,2284048.4,1223011.9,45.8,52.8,2023-08-10,2023-12-06,,9,18.2,VEND_021,0
WRK00002,Anganwadi Center at District_1 Sector 17,Anganwadi Center,District_1,21.19227352589656,79.17858360889184,5166802.51,4059999.83,73.3,76.7,2023-04-08,2023-12-08,,2,15.9,VEND_020,0
WRK00003,School Building at District_11 Sector 4,School Building,District_11,20.930798971128773,78.95644861463605,2594631.16,2250868.09,78.0,84.0,2023-03-06,2023-09-14,,4,8.3,VEND_019,0
WRK00004,Drainage at District_10 Sector 19,Drainage,District_10,22.711608066153335,80.70583429045703,11412477.52,9288503.39,78.6,79.1,2023-05-25,2024-03-07,,3,26.3,VEND_042,0
WRK00005,Drainage at District_4 Sector 23,Drainage,District_4,22.07648136728536,80.06805610758782,428632.52,311965.26,84.4,70.9,2023-03-11,2023-10-23,,10,21.6,VEND_033,0
WRK00006,Irrigation Canal at District_2 Sector 36,Irrigation Canal,District_2,21.839667361759997,79.78256374638758,907292.34,263807.35,39.5,30.4,2023-08-07,2024-01-29,,7,25.0,VEND_018,0
WRK00007,Community Hall at District_6 Sector 28,Community Hall,District_6,19.978637367683174,78.00792698455383,10031934.31,4700377.06,51.8,48.9,2023-11-29,2024-07-05,,12,8.0,VEND_028,0
WRK00008,Bridge at District_9 Sector 14,Bridge,District_9,20.300624705936386,78.3240373329453,2557695.34,1409900.7,56.5,55.9,2023-12-15,2024-05-04,,6,5.5,VEND_007,0
WRK00009,Anganwadi Center at District_5 Sector 18,Anganwadi Center,District_5,22.71998871133617,80.654726047232,3211470.47,2268425.4,79.8,72.3,2023-05-13,2023-10-31,,12,10.5,VEND_054,0
WRK00010,Water Supply at District_2 Sector 6,Water Supply,District_2,21.713633978840384,79.82172118217728,8883863.91,5488826.21,66.4,62.2,2023-10-17,2024-06-06,,13,20.2,VEND_035,0
WRK00011,Community Hall at District_2 Sector 12,Community Hall,District_2,21.748825125368906,79.8089637817478,5234977.05,4427675.01,72.1,83.8,2023-01-21,2023-06-18,,6,13.6,VEND_055,0
WRK00012,Irrigation Canal at District_12 Sector 18,Irrigation Canal,District_12,20.831165692622182,78.93175754734072,1279279.61,996191.12,71.3,78.0,2023-01-12,2023-08-19,,8,49.1,VEND_056,0
WRK00013,Irrigation Canal at District_2 Sector 12,Irrigation Canal,District_2,21.693397685963436,79.81338557311719,10603362.01,7794887.38,62.2,70.7,2023-06-15,2024-06-02,,7,18.4,VEND_033,0
WRK00014,Road Construction at District_4 Sector 22,Road Construction,District_4,22.075684604546336,80.09731087245908,5921618.73,2571650.49,55.0,45.5,2023-12-30,2024-07-06,,3,12.7,VEND_022,0
WRK00015,Drainage at District_4 Sector 12,Drainage,District_4,22.141924460186818,80.05485364109565,945458.92,538622.56,64.2,58.9,2024-04-21,2025-01-28,,8,15.5,VEND_026,0
WRK00016,Anganwadi Center at District_12 Sector 35,Anganwadi Center,District_12,20.908629395886106,78.97895456282053,12467233.2,11766141.5,91.1,92.9,2024-03-21,2024-07-24,,8,31.1,VEND_006,0
WRK00017,Community Hall at District_9 Sector 11,Community Hall,District_9,20.309161721861095,78.23877654841397,8613789.66,5075585.74,61.4,58.3,2023-05-01,2023-08-19,,12,8.9,VEND_019,0
WRK00018,Drainage at District_12 Sector 37,Drainage,District_12,20.88026974385702,78.899743906664,2017420.36,1396898.05,66.8,72.0,2023-03-13,2023-08-04,,4,19.5,VEND_041,0
WRK00019,Irrigation Canal at District_10 Sector 13,Irrigation Canal,District_10,22.65609238165356,80.68329382796496,584746.0,307781.47,55.3,52.7,2023-12-24,2024-12-04,,3,25.4,VEND_057,0
WRK00020,School Building at District_7 Sector 8,School Building,District_7,19.965202869416466,77.98880705915597,2792468.89,2005987.73,66.8,68.6,2023-10-05,2024-09-19,,3,38.8,VEND_056,0
WRK00021,Drainage at District_9 Sector 37,Drainage,District_9,20.22682789990815,78.27046464930183,8545719.98,2977811.56,51.9,34.7,2023-01-09,2023-07-07,,12,9.4,VEND_052,0
WRK00022,Irrigation Canal at District_10 Sector 32,Irrigation Canal,District_10,22.673528028631697,80.65615696109163,616872.66,566951.51,100.0,89.7,2023-11-22,2024-01-21,,12,49.1,VEND_053,1
WRK00023,Water Supply at District_1 Sector 6,Water Supply,District_1,21.217077777547026,79.28643488222028,2387918.34,1963250.78,80.5,84.0,2024-04-06,2024-08-18,,9,6.3,VEND_032,0
WRK00024,Community Hall at District_1 Sector 35,Community Hall,District_1,21.21160849448131,79.17223363905906,547785.95,388680.09,68.1,70.9,2023-09-15,2024-07-12,,11,12.8,VEND_032,0
WRK00025,Water Supply at District_1 Sector 3,Water Supply,District_1,21.340704193163237,79.30465841544654,542808.16,229072.61,49.7,40.8,2024-04-19,2024-11-24,,3,24.8,VEND_041,0
WRK00026,Drainage at District_2 Sector 21,Drainage,District_2,21.82272101691072,79.74447846577927,12010129.4,7372253.0,66.0,63.7,2023-10-17,2024-09-12,,12,21.5,VEND_058,0
WRK00027,Drainage at District_11 Sector 15,Drainage,District_11,20.888157486774514,78.90882562106863,2333079.15,737735.04,29.9,32.5,2023-01-31,2023-06-13,,6,28.6,VEND_044,0
WRK00028,Water Supply at District_4 Sector 8,Water Supply,District_4,22.047355074464804,80.0832771913822,1274428.96,1278944.88,99.6,100.0,2023-12-02,2024-12-10,2025-02-04,13,24.4,VEND_048,0
WRK00029,Irrigation Canal at District_7 Sector 23,Irrigation Canal,District_7,20.00332729079296,77.96512880883499,450601.15,305057.31,61.2,70.6,2024-01-03,2024-10-04,,11,38.2,VEND_005,0
WRK00030,Anganwadi Center at District_7 Sector 2,Anganwadi Center,District_7,19.99665234135509,77.94139964037026,548420.5,229532.51,51.0,42.9,2024-02-05,2024-09-20,,12,7.8,VEND_006,0
WRK00031,Irrigation Canal at District_7 Sector 6,Irrigation Canal,District_7,19.96738432542917,78.05776560180533,516496.29,359982.73,66.4,69.8,2023-10-14,2024-08-09,,8,5.0,VEND_055,0
WRK00032,Road Construction at District_11 Sector 25,Road Construction,District_11,20.820920280027302,78.97379745240268,2523260.38,2356757.89,81.3,89.8,2023-11-25,2024-12-04,,12,22.3,VEND_016,0
WRK00033,School Building at District_10 Sector 15,School Building,District_10,22.692623565987983,80.69237387337739,12680637.32,18780800.755538505,62.5,100.0,2023-03-15,2023-12-02,,7,11.8,VEND_047,1
WRK00034,Water Supply at District_8 Sector 23,Water Supply,District_8,20.600571302778036,78.66644802952185,637798.67,603612.51,100.0,98.4,2023-12-25,2024-08-02,2024-07-22,8,15.4,VEND_033,0
WRK00035,Road Construction at District_1 Sector 5,Road Construction,District_1,21.119887022947054,79.1374176392947,2573185.1,2063178.3,73.8,78.0,2023-06-07,2024-01-20,,9,5.0,VEND_003,0
WRK00036,Community Hall at District_11 Sector 2,Community Hall,District_11,20.92296928858583,78.93509768131106,1299552.37,997768.0,67.8,73.8,2023-01-12,2023-11-04,,13,13.0,VEND_027,0
WRK00037,Drainage at District_2 Sector 32,Drainage,District_2,21.84102642377087,79.78031294138877,5640672.6,3949554.67,62.6,69.3,2024-03-30,2024-07-09,,14,5.2,VEND_017,0
WRK00038,Bridge at District_11 Sector 20,Bridge,District_11,20.937471694986385,78.88575579668088,593027.1,519417.03,91.6,91.0,2024-02-28,2024-12-30,,11,33.5,VEND_033,0
WRK00039,Road Construction at District_8 Sector 3,Road Construction,District_8,20.570279982390065,78.52597317437174,8965207.45,8597249.76,81.1,94.8,2023-01-08,2023-06-30,,8,9.6,VEND_001,0
WRK00040,Bridge at District_1 Sector 25,Bridge,District_1,21.108454708707622,79.24641484957843,8458605.03,3337826.75,43.6,38.4,2024-01-21,2024-06-15,,5,23.3,VEND_027,0
WRK00041,Bridge at District_2 Sector 16,Bridge,District_2,21.782860692456783,79.72615710915771,11498879.72,10398936.01,87.3,90.4,2023-05-09,2024-02-24,,10,39.5,VEND_008,0
WRK00042,Anganwadi Center at District_2 Sector 9,Anganwadi Center,District_2,21.808009529665853,79.85381200787332,506975.8,336545.29,64.5,67.0,2024-01-28,2024-11-02,,12,5.0,VEND_036,0
WRK00043,Anganwadi Center at District_4 Sector 26,Anganwadi Center,District_4,22.085340420667563,80.19686155812147,456398.22,318173.06,72.0,68.7,2023-02-17,2023-11-11,,9,26.2,VEND_015,0
WRK00044,School Building at District_10 Sector 20,School Building,District_10,22.64290308869288,80.70031695311812,2450821.67,2410899.79,93.7,94.4,2024-04-25,2024-12-29,,13,18.3,VEND_016,0
WRK00045,Bridge at District_10 Sector 13,Bridge,District_10,22.65742314054071,80.73327926181567,1220996.61,742972.34,59.3,62.9,2024-02-15,2024-06-01,,11,5.0,VEND_054,0
WRK00046,Water Supply at District_1 Sector 39,Water Supply,District_1,21.12524695848864,79.2681931114907,8768064.5,1030132.35,34.9,11.2,2023-04-30,2024-01-31,,21,51.97029626541722,VEND_026,0
WRK00047,Drainage at District_4 Sector 7,Drainage,District_4,22.02195208235028,80.08513383186511,5602221.59,4524530.26,80.8,83.6,2023-06-16,2023-09-17,,11,29.0,VEND_055,0
WRK00048,Anganwadi Center at District_12 Sector 17,Anganwadi Center,District_12,20.85561521721427,78.96678921681601,2176994.86,1513458.25,56.1,67.8,2023-09-09,2024-04-24,,2,35.6,VEND_055,0
WRK00049,School Building at District_2 Sector 4,School Building,District_2,21.777571789598582,79.82261669753215,458213.07,290344.55,54.2,63.4,2023-04-07,2023-10-04,,2,5.0,VEND_050,0
WRK00050,Drainage at District_11 Sector 33,Drainage,District_11,20.89103866872751,78.8873311215526,5907257.55,2934048.51,44.8,50.5,2023-11-03,2024-02-19,,14,25.6,VEND_032,0
WRK00051,Community Hall at District_10 Sector 36,Community Hall,District_10,22.695645291447374,80.68464583908327,10935619.7,3572164.7,40.1,33.0,2023-03-02,2024-02-18,,14,20.5,VEND_024,0
WRK00052,Road Construction at District_3 Sector 11,Road Construction,District_3,20.936970633615047,78.8920175846289,1263730.23,686932.8,68.8,57.2,2023-12-12,2024-07-27,,7,11.0,VEND_032,0
WRK00053,Community Hall at District_8 Sector 34,Community Hall,District_8,20.66680930500061,78.66239749925296,11807162.82,916674.5,16.8,7.6,2023-11-22,2024-11-26,,7,27.1,VEND_030,0
WRK00054,Drainage at District_9 Sector 14,Drainage,District_9,20.258126829795742,78.31177241841549,3212268.9,2783904.87,70.0,84.6,2023-02-23,2024-03-24,,10,5.0,VEND_018,1
WRK00055,Irrigation Canal at District_1 Sector 22,Irrigation Canal,District_1,21.173970579357228,79.24063006438769,5162433.64,3497707.37,75.3,70.7,2023-06-12,2024-07-09,,4,13.6,VEND_016,0
WRK00056,Water Supply at District_12 Sector 34,Water Supply,District_12,20.92240496819681,78.81572013413077,8243492.36,4938830.15,69.7,58.3,2023-07-04,2023-11-04,,2,7.2,VEND_024,0
WRK00057,Water Supply at District_10 Sector 16,Water Supply,District_10,22.669301159930356,80.77255894245106,614531.33,383120.88,70.4,65.4,2023-08-10,2023-11-09,,11,15.9,VEND_037,0
WRK00058,School Building at District_9 Sector 35,School Building,District_9,20.179360983453527,78.38054684975059,1226672.34,285126.68,26.3,23.8,2024-03-27,2024-09-25,,9,8.9,VEND_041,0
WRK00059,Community Hall at District_2 Sector 39,Community Hall,District_2,21.725279719009034,79.83495983658474,1299371.69,747725.0,58.3,57.1,2023-11-16,2024-05-15,,4,7.3,VEND_044,0
WRK00060,Road Construction at District_8 Sector 18,Road Construction,District_8,20.58047680252686,78.6923912506478,867183.46,393061.66,42.9,47.6,2023-02-21,2023-09-12,,5,21.8,VEND_052,0
WRK00061,Water Supply at District_5 Sector 36,Water Supply,District_5,22.61540186754151,80.69912185867614,2676070.8,1307383.1,63.4,49.7,2024-05-05,2024-10-30,,13,14.8,VEND_059,0
WRK00062,Bridge at District_9 Sector 31,Bridge,District_9,20.313618487763712,78.26430625879817,2301715.08,2108547.74,72.0,91.0,2023-05-30,2023-12-05,,5,18.3,VEND_038,0
WRK00063,Drainage at District_6 Sector 4,Drainage,District_6,20.06258625042826,77.97393385406814,3018298.05,1593213.66,56.3,52.5,2023-12-02,2024-12-05,,6,15.4,VEND_019,0
WRK00064,Drainage at District_12 Sector 18,Drainage,District_12,20.887711924999355,78.947602682657,3199718.15,942353.62,49.4,30.8,2024-01-05,2024-05-05,,14,18.0,VEND_047,0
WRK00065,Road Construction at District_4 Sector 17,Road Construction,District_4,22.048459313986445,80.09715227293931,415132.11,210530.99,46.8,51.3,2024-03-24,2025-01-24,,4,19.9,VEND_018,0
WRK00066,Water Supply at District_2 Sector 11,Water Supply,District_2,21.799395767460588,79.78946549928185,10447510.03,8201018.41,78.7,75.9,2023-01-15,2023-07-27,,8,31.3,VEND_036,0
WRK00067,Anganwadi Center at District_3 Sector 6,Anganwadi Center,District_3,20.853855677905234,78.97305894333603,2413419.68,819204.51,42.2,33.2,2023-05-04,2024-05-16,,4,25.5,VEND_019,0
WRK00068,Road Construction at District_2 Sector 24,Road Construction,District_2,21.807905954245257,79.83888836945424,8156417.56,2305236.92,20.1,28.1,2023-03-18,2023-07-20,,4,5.0,VEND_030,0
WRK00069,School Building at District_1 Sector 24,School Building,District_1,21.289879726121715,79.22581487860508,11864686.94,7421212.41,65.2,62.8,2024-05-12,2024-07-11,,14,37.9,VEND_005,1
WRK00070,Community Hall at District_5 Sector 2,Community Hall,District_5,22.742750966214864,80.7319813204749,11003669.59,8813869.05,77.7,83.6,2023-05-29,2023-11-02,,13,5.0,VEND_023,0
WRK00071,Community Hall at District_1 Sector 6,Community Hall,District_1,21.136007952118,79.28409083096504,584645.1,455341.92,70.1,80.9,2024-02-17,2024-08-23,,12,9.1,VEND_004,0
WRK00072,Drainage at District_3 Sector 35,Drainage,District_3,20.834867394158277,78.89744014440917,2020724.75,1743329.32,82.9,83.0,2023-10-04,2024-11-04,,3,18.0,VEND_010,0
WRK00073,Bridge at District_8 Sector 10,Bridge,District_8,20.562695087167377,78.53748422305384,947377.6,270524.55,29.3,28.3,2023-06-21,2024-04-11,,4,30.3,VEND_050,0
WRK00074,Irrigation Canal at District_4 Sector 17,Irrigation Canal,District_4,22.045815058632098,80.11723024523751,5694051.91,5130132.1,87.0,85.9,2023-09-24,2024-08-03,,3,22.2,VEND_056,0
WRK00075,Road Construction at District_1 Sector 38,Road Construction,District_1,21.212644240748496,79.17480211292947,4235179.91,2407587.21,57.0,58.9,2024-01-22,2025-01-21,,6,15.2,VEND_041,0
WRK00076,Anganwadi Center at District_3 Sector 29,Anganwadi Center,District_3,20.915909474383728,78.8418960243633,10349004.44,6824296.59,65.6,65.8,2024-03-15,2025-01-26,,3,5.0,VEND_032,0
WRK00077,Anganwadi Center at District_10 Sector 1,Anganwadi Center,District_10,22.643610961755414,80.6810096744105,3081965.67,2206603.54,58.5,69.9,2024-03-06,2025-02-06,,7,39.1,VEND_059,0
WRK00078,Drainage at District_5 Sector 37,Drainage,District_5,22.695335067517323,80.70655289130231,4797831.22,3701278.48,82.0,76.4,2023-06-24,2024-03-28,,9,15.1,VEND_004,0
WRK00079,School Building at District_3 Sector 4,School Building,District_3,20.91392879572559,78.90069926109327,881435.75,271333.97,26.3,31.6,2023-06-03,2024-03-31,,4,19.4,VEND_035,0
WRK00080,School Building at District_11 Sector 38,School Building,District_11,20.941551592883396,78.83289124168147,1061006.15,702136.29,64.1,66.3,2023-01-29,2023-09-21,,3,20.6,VEND_040,0
WRK00081,Anganwadi Center at District_6 Sector 38,Anganwadi Center,District_6,19.999384035353536,77.98895163411068,591200.89,477755.79,69.5,77.1,2023-05-31,2024-05-26,,6,9.1,VEND_025,0
WRK00082,Anganwadi Center at District_2 Sector 7,Anganwadi Center,District_2,21.778433028088024,79.67491500779201,1222898.48,603259.75,53.8,50.6,2024-01-07,2024-10-14,,7,30.5,VEND_023,0
WRK00083,Irrigation Canal at District_8 Sector 5,Irrigation Canal,District_8,20.623943776926023,78.5232178965037,5012137.41,3912383.59,62.1,74.8,2023-02-25,2024-01-16,,7,17.7,VEND_043,0
WRK00084,Water Supply at District_2 Sector 35,Water Supply,District_2,21.746187739984062,79.76241220760932,1006783.97,630044.52,52.6,60.5,2023-01-31,2023-09-17,,9,10.4,VEND_032,0
WRK00085,Community Hall at District_7 Sector 21,Community Hall,District_7,19.905960078601296,77.98410467256858,1270009.51,662852.09,53.6,52.2,2023-02-07,2024-02-07,,7,24.1,VEND_049,0
WRK00086,School Building at District_6 Sector 10,School Building,District_6,20.000300834021804,78.02241620329866,520507.69,383562.61,71.2,75.9,2024-02-22,2025-03-13,,4,29.4,VEND_023,0
WRK00087,Bridge at District_2 Sector 32,Bridge,District_2,21.8443196979784,79.82453833544969,10325070.66,6559762.36,57.9,60.6,2024-04-30,2024-11-30,,3,5.0,VEND_022,0
WRK00088,Drainage at District_6 Sector 31,Drainage,District_6,20.02387646686334,77.941878560993,412526.67,309809.48,55.3,73.3,2024-04-10,2024-10-23,,10,36.2,VEND_013,0
WRK00089,Irrigation Canal at District_12 Sector 6,Irrigation Canal,District_12,20.894513627415286,78.8982194631905,3241710.62,1796427.99,50.2,57.6,2023-05-21,2023-11-14,,32,57.48102611172038,VEND_030,1
WRK00090,Bridge at District_5 Sector 14,Bridge,District_5,22.65001438856653,80.64792061836894,10305497.15,4330732.68,36.7,40.2,2023-06-01,2023-07-31,,8,22.3,VEND_006,1
WRK00091,Anganwadi Center at District_9 Sector 12,Anganwadi Center,District_9,20.33159907418807,78.22978654509546,12462438.45,9453993.66,77.1,74.7,2024-01-09,2024-03-09,,4,34.8,VEND_043,1
WRK00092,Community Hall at District_5 Sector 14,Community Hall,District_5,22.69451329091849,80.71763600815132,5799456.34,4366796.9,67.6,74.2,2023-10-22,2024-06-25,,7,15.9,VEND_028,0
WRK00093,School Building at District_6 Sector 31,School Building,District_6,20.017010498843415,78.0335039621101,563879.43,342859.36,72.6,62.7,2024-01-02,2024-10-23,,4,5.0,VEND_045,0
WRK00094,Anganwadi Center at District_3 Sector 22,Anganwadi Center,District_3,20.902608665932874,78.8863074747227,4346636.24,3134570.71,71.8,74.3,2023-05-21,2023-11-14,,14,5.0,VEND_046,0
WRK00095,Irrigation Canal at District_12 Sector 16,Irrigation Canal,District_12,20.90180299633989,78.89976835138879,4801227.9,2974412.69,69.1,65.1,2023-12-25,2025-01-20,,9,20.0,VEND_057,0
WRK00096,School Building at District_8 Sector 10,School Building,District_8,20.640283931962127,78.6338700684346,2402769.59,3466947.203526057,79.0,100.0,2024-03-04,2024-11-17,,12,14.6,VEND_057,1
WRK00097,School Building at District_12 Sector 12,School Building,District_12,20.92187561243099,78.83791222355609,11823336.14,10247281.87,100.0,89.0,2023-04-27,2024-03-18,2024-04-15,10,24.1,VEND_016,0
