work_id,work_name,work_type,state,district,constituency,lat,lon,sanctioned_amount,expenditure,physical_progress_pct,financial_progress_pct,start_date,end_date,actual_end_date,num_payment_txns,max_single_txn_pct_of_sanctioned,vendor_id,is_fraud_label
WRK00201,Road Construction - Kota Rural,Road Construction,Rajasthan,Kota,Kota Rural,26.491,74.4759,15035332,13832505,96,92,2023-03-05,2023-08-13,,3,19.3,VEND201,0
WRK01079,Streetlight Installation - Jaipur South,Streetlight Installation,Rajasthan,Jaipur,Jaipur South,27.7978,75.3411,8934963,1518943,10,17,2022-07-29,2023-07-10,,6,13.5,VEND302,0
WRK00611,Irrigation Canal - Udaipur West,Irrigation Canal,Rajasthan,Udaipur,Udaipur West,26.7431,74.262,866744,234020,22,27,2024-07-22,2026-01-07,,6,16.3,VEND317,0
WRK02160,Health Sub-Centre - Dibrugarh South,Health Sub-Centre,Assam,Dibrugarh,Dibrugarh South,26.4105,92.3272,13858369,5959098,38,43,2024-01-28,2024-06-20,,3,14.4,VEND221,0
WRK01170,Community Hall - Gaya West,Community Hall,Bihar,Gaya,Gaya West,26.055,85.4913,1126431,450572,39,40,2024-02-07,2025-01-23,,8,18.1,VEND261,0
WRK02449,Health Sub-Centre - Muzaffarpur East,Health Sub-Centre,Bihar,Muzaffarpur,Muzaffarpur East,25.792,85.7412,851139,348966,34,41,2023-10-29,2024-03-30,,9,43.6,VEND190,0
WRK02939,School Building - Faridabad North,School Building,Haryana,Faridabad,Faridabad North,28.7339,76.1383,12993211,5846944,41,45,2023-12-28,2025-04-28,,9,42.3,VEND304,0
WRK00814,Road Construction - Patna West,Road Construction,Bihar,Patna,Patna West,26.2724,84.5246,6758017,4865772,60,72,2023-05-29,2023-11-02,,1,90.6,VEND193,1
WRK01269,Anganwadi Centre - Udaipur North,Anganwadi Centre,Rajasthan,Udaipur,Udaipur North,27.8363,73.8718,3349541,502431,8,15,2023-03-18,2024-08-03,,9,29.1,VEND269,0
WRK00871,Anganwadi Centre - Chennai Urban,Anganwadi Centre,Tamil Nadu,Chennai,Chennai Urban,11.881,79.4277,515340,92761,17,18,2022-06-30,2023-11-18,,6,30.3,VEND192,0
WRK00103,Drainage Project - Chennai South,Drainage Project,Tamil Nadu,Chennai,Chennai South,12.0493,78.3341,22777145,4783200,20,21,2024-05-08,2025-10-12,,7,15.1,VEND032,0
WRK03257,Streetlight Installation - Kochi North,Streetlight Installation,Kerala,Kochi,Kochi North,11.137,76.0479,6760633,6760633,97,100,2022-09-03,2023-04-30,,9,27.1,VEND154,0
WRK01099,Health Sub-Centre - Agra East,Health Sub-Centre,Uttar Pradesh,Agra,Agra East,26.9257,81.1286,16788753,15109877,90,90,2022-10-21,2024-01-30,,7,31.1,VEND012,0
WRK01815,Health Sub-Centre - Amritsar Urban,Health Sub-Centre,Punjab,Amritsar,Amritsar Urban,30.9856,74.2036,5671143,5160740,89,91,2024-01-31,2025-03-10,,7,33.6,VEND052,0
WRK01420,Community Hall - Ahmedabad Rural,Community Hall,Gujarat,Ahmedabad,Ahmedabad Rural,23.0832,71.8876,15858626,15858626,99,100,2024-08-02,2025-11-01,,11,37.0,VEND199,0
